phonetic;grammatical;derivational;lexical
одежа;накладь;суховый;куток
стау;подема;словать;кошенина
родицца;вынесема;преболтать;хлифцик
называйецть;укрепат;подклет;ленчик
полезеш;сугриваит;кухонновый;сятта
еш;рассказыв;подлошцик;процюхариться
разресовать;вчарася;крылечушко;сыпец
трупка;седень;как-нимабыть;подовиница
угород;передема;пологоватка;авнида
повить;смелеша;прирубайец;маета
быу;намелеша;мучичка;курный
пирок;верхна;куретник;хибарка
называица;спичын;кислушник;хата
яцменной;улеч;побечь;девка
крыльчо;стадов;халупочка;дросвоить
ешшо;складь;толстокоренник;сменелисить
роспределеный;пош;заташнуть;колоб
оддыхали;бывата;халупка;кожук
ити;камене;сейгод;мусница
звоз;нонеча;подоконье;осинесь
мычча;уехавши;мучница;катоник
збиться;вскипемши;удворина;осекать
неровнойо;одеть;зодоска;мусинк
дваццать;утрось;чулашковы;мутовка
замуш;боркима;подклетие;корунка
ешчо;некогды;настропать;пощый
улець;нать;хлевый;луткий
опеть;хошь;завыясневеть;курень
отгорожоно;розна;узенек;хорома
йим;надоть;хлевин;семенец
йек;буде;лешобный;кутний
жыву;польта;скласться;мужик
слову;вовсюда;утолока;шостень
огородя;полоскаит;подмостье;леженя
косьти;когды;огородец;чойпан
спустися;застать;подопечечь;кут
постройот;буточка;мученочка;сниснуть
хлеви;двоежирной;закутка;охлупь
одевайс;двоетажной;крошонина;хливить
лисничий;крайной;одорожыть;цевый
минь;обшитой;обряжаться;галанка
эво;шитой;подовийник;закроемь
поскакиват;крашеной;кровата;шшитовка
мина;утресь;заклать;цопан
охотицца;привезе;доильнуть;баточить
ещщый;дошочка;погодушка;жарот
йеттить;кадця;неходелый;салодашка
усатьба;полица;улка;конек
ныня;тамотке;моркошка;исподной
вершын;мизень;дельник;шесток
спусьтись;четырехстенок;подмостие;лисьвица
привезаться;небольша;апрелька;хомутыт
постафь;маленька;подоконье;халупа
посушыть;выстыне;крыльчить;стог
ево;одне;подоковинья;передызье
верьха;сватушко;курья;отхлупник
зашоу;занимамсе;приусадьбный;лежень
выйдеш;узенька;подовинник;чупак
выташат;коробейка;подлавок;камница
лесьть;вехоток;сварнуть;летник
типерь;выдоиши;лавица;матница
ешо;поставиши;потпечье;куфенок
пагожий;закласть;усадьбишка;охлупенить
поеш;угара;подокошоцье;насема
обходица;кабыть;потапкать;сумет
приходитцэ;запреват;улить;чопанчик
зовеца;пашошь;лавици;кожух
шифирина;припашошь;тесовенький;грузлеть
бутто;парево;подлавица;чело
ищщый;котко;сронить;хоромина
помешшык;тутотка;подовинья;лопать
пошол;завсе;хлевец;охлупнуть
называйцца;угарно;лисьменка;ремки
подение;овалится;нутрина;корунок
перенке;паханой;потклет;подоушко
пишшить;приде;уделат;мурлата
хрыльцо;ложить;назем;поветь
называйуть;котеек;укрепа;конок
собираеша;котанко;мусенка;чило
спускаец;сижа;муснич;губница
печький;поляца;мучнивать;рошка
йесить;горя;муцонка;куть
подлешык;кацюля;мусонка;субанка
сыройег;обтесен;мушница;гумно
йий;держана;муцна;голанка
ева;качелясь;мусенок;баба
стоель;пристрой;мусной;кут
приташшыл;урожайной;мусница;мучнец
ползаш;картовна;мусенок;куренек
кузьнец;картовь;мучонок;курна
называец;вымать;мусный;подмостро
заберошс;отворям;мусенка;тес
зафтр;жареха;мучин;мушницька
сйехать;ночевав;муценка;курня
топера;ззаду;мусник;муцк
жыть;наклал;гуска;баской
брякат;коневьи;певень;усадьба
захош;свекрова;телок;псышна
лижанк;вместях;земляница;казематка
играт;сдануть;насписник;бисня
первать;тепляя;наблюдник;курная
робота;утенет;лопотистый;морох
раньша;складено;лопотина;гумно
йешшо;молотилыма;лопотье;тресь
затопиу;работам;надетка;кошель
бельо;жеродцькима;нарядина;хотной
называйецца;заворницима;нарядка;новична
нать;заганивают;оболокать;гувно
стойим;студоко;одевка;кицига
оцень;кажинный;одеванье;жамки
передоцек;правяе;одеждишка;гарбуз
закрывайеца;забирамсе;одежина;голицы
пецка;оттуль;обряжаться;чабак
пец;добер;одетка;баской
цыплятоцек;малехоный;переодевка;лопоть
колидора;всекима;поволочка;манахотье
лисница;большашшой;гунье;оболонка
моргофка;натолокчи;гунько;оболочка
цотырь;;дыроватки;обряд
сонцо;;латанина;одева
обыцный;;ломье;шофник
скацет;;скурье;покрута
откроетцть;;сряд;ратондра
угородечь;;обдергушка;решка
сейгот;;обдержка;снаряд
истить;;окоротыш;укутка
силосна;;отреп;гуня
